REGEX,DESTINATION
(www\.)?lajefa991\.com(.+)?(.*),http://lajefa991.univision.com?cmpid=vnt:lajefa991.com
(www\.)?republicadeportiva\.com(.+)?(.*),http://deportes.univision.com/republica-deportiva?cmpid=vnt:republicadeportiva.com
(www\.)?bellezaymoda\.com(.+)?(.*),http://bellezaymoda.univision.com?cmpid=vnt:univisionbellezaymoda.com
(www\.)?uphiladelphia\.com(.+)?(.*),http://univision65.univision.com/
(www\.)?univision65\.com(.+)?(.*),http://univision65.univision.com/
(www\.)?univisionphiladelphia\.com(.+)?(.*),http://univision65.univision.com/?cmpid=univisionphiladelphia.com
(www\.)?philadelphia28\.com(.+)?(.*),http://univision65.univision.com/?cmpid=philadelphia28.com
(www\.)?philadelphia65\.com(.+)?(.*),http://univision65.univision.com/?cmpid=philadelphia65.com
(www\.)?wuvp-tv\.com(.+)?(.*),http://univision65.univision.com/?cmpid=vnt:wuvp65.com
(www\.)?wuvp\.tv(.+)?(.*),http://univision65.univision.com/?cmpid=vnt:wuvp65.com
(www\.)?wuvp65\.com(.+)?(.*),http://univision65.univision.com/?cmpid=vnt:wuvp65.com
(www\.)?wvix\.com(.+)?(.*),http://univision65.univision.com/?cmpid=vnt:wuvp65.com
(www\.)?1079lakale\.com(.+)?(.*),http://recuerdodallas.univision.com/
(www\.)?recuerdo1079\.com(.+)?(.*),http://recuerdodallas.univision.com/
(www\.)?novelasyseries\.com(.+)?supermomentos,http://novelasyseries.univision.com/super-momentos-de-novela/
(www\.)?novelasyseries\.com(.+)?(.*),http://novelasyseries.univision.com/
(www\.)?novelayserie\.com(.+)?(.*),http://novelasyseries.univision.com/
(www\.)?novelayseries\.com(.+)?(.*),http://novelasyseries.univision.com/
(www\.)?recuerdo1003\.com(.+)?(.*),http://1003masvariedad.univision.com/
recuerdo1003.univision.com(.+)?(.*),http://1003masvariedad.univision.com/
(www\.)?latremenda1010\.com(.+)?(.*),http://latremenda1010.univision.com/
(www\.)?tremenda1010\.com(.+)?(.*),http://latremenda1010.univision.com/
(www\.)?univisionhaiti\.com(.+)?(.*),http://noticias.univision.com/america-latina/haiti
(www\.)?lanuevafm\.com(.+)?(.*),http://lanueva1019.univision.com/
(www\.)?miami23\.com(.+)?(.*),http://miami.univision.com/
(www\.)?univisionmiami\.com(.+)?(.*),http://miami.univision.com/
(www\.)?wltv23\.com(.+)?(.*),http://miami.univision.com/
(www\.)?wltv-tv\.com(.+)?(.*),http://miami.univision.com/
(www\.)?wltv\.tv(.+)?(.*),http://miami.univision.com/?cmpid=vnt:wltv.tv
(www\.)?kdtv14\.com(.+)?(.*),http://univision14.univision.com/
(www\.)?kdtv\.tv(.+)?(.*),http://univision14.univision.com/?cmpid=vnt:kdtv.tv
(www\.)?kdtv-tv\.com(.+)?(.*),http://univision14.univision.com/
(www\.)?univisionsanfrancisco\.com(.+)?(.*),http://univision14.univision.com/
(www\.)?univisionaustin\.com(.+)?(.*),http://univisionaustin.univision.com/
(www\.)?austin31\.com(.+)?(.*),http://univisionaustin.univision.com/
(www\.)?kdas31\.com(.+)?(.*),http://univisionaustin.univision.com/
(www\.)?newyork41\.com(.+)?(.*),http://univisionnuevayork.univision.com/
(www\.)?univisionnewyork\.com(.+)?(.*),http://univisionnuevayork.univision.com/
(www\.)?wxtv-tv\.com(.+)?(.*),http://univisionnuevayork.univision.com/
(www\.)?labandaofficial\.co\.uk(.+)?(.*),http://www.univision.com/entretenimiento/la-banda
